Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
M,1.55,1.275,0.425,33.339012,14.13222575,7.881161,8.7032965,11
I,0.8125,0.5625,0.1875,5.3013565,2.33883375,1.26155275,1.417475,6
F,1.7625,1.4,0.4375,43.27551175,19.0225145,9.015141,10.56018875,11
M,1.2625,1.0125,0.3875,24.720764,7.69688925,6.7755305,8.0796075,14
F,1.6625,1.3125,0.45,38.90968875,16.8112535,7.27164675,11.1980525,9
M,1.0,0.8125,0.3125,11.8217415,5.4147545,2.551455,3.33106625,9
I,0.5125,0.375,0.1375,1.1623295,0.35436875,0.2551455,0.4252425,5
M,1.65,1.3125,0.475,38.88133925,17.08057375,8.164656,10.942907,11
M,1.4,1.1,0.3375,22.83552225,10.8011595,4.025629,7.37087,8
I,1.2875,0.9375,0.3375,16.71203025,6.90310325,3.27436725,5.8116475,13
M,1.3375,1.05,0.375,21.9708625,9.56795625,5.953395,5.953395,8
F,1.5875,1.2125,0.4125,36.69842775,18.937466,7.38504475,7.69688925,11
F,1.3875,1.1125,0.4375,27.8675585,10.78698475,6.36446275,9.4970825,12
M,1.625,1.2875,0.45,43.828327,19.77377625,9.73805325,12.757275,13
M,1.5125,1.1875,0.4375,33.04134225,14.911837,8.71747125,9.922325,12
I,1.2625,0.9875,0.35,18.75319425,8.3064035,4.35164825,6.0951425,10
I,1.3875,1.15,0.375,21.64484325,9.241937,4.3374735,6.80388,9
F,1.575,1.25,0.4375,37.194544,15.46465225,8.17883075,11.056305,10
F,1.525,1.1375,0.4,32.89959475,14.7133905,7.78193775,8.6465975,8
M,0.8375,0.625,0.225,5.71242425,2.721552,1.14815475,1.360776,7
M,1.425,1.15,0.375,27.76833525,10.84368375,6.25106475,7.5126175,9
M,1.5625,1.2625,0.375,32.89959475,14.7133905,7.41339425,9.4970825,11
M,1.3875,1.1,0.4875,27.88173325,8.845044,5.5281525,9.922325,16
F,1.4,1.075,0.3625,23.85610425,8.57572375,5.03203625,8.0796075,11
M,1.525,1.15,0.425,28.16522825,11.8784405,7.7961125,8.3631025,10
F,1.6375,1.25,0.4875,45.7277435,14.401546,9.241937,13.210867,21
F,1.475,1.175,0.3625,30.1922175,12.34620725,4.12485225,9.5537815,10
F,1.3375,1.0125,0.4,25.7129965,10.546014,5.613201,7.15824875,11
M,1.625,1.2375,0.4375,34.23202125,15.0535845,7.314171,9.59630575,10
M,1.425,1.0375,0.4625,23.85610425,9.752228,4.63514325,7.2291225,11
M,1.6625,1.3125,0.45,37.7331845,13.08329425,9.36950975,12.8990225,13
M,1.4,1.0625,0.35,23.94115275,10.77281,4.57844425,6.7188315,9
I,0.925,0.6875,0.2375,6.95980225,2.84912475,1.51669825,1.984465,8
I,1.325,0.9875,0.325,18.030282,8.97261675,3.7704835,5.046211,8
I,0.8375,0.625,0.2375,6.87475375,2.70737725,1.077281,2.1262125,6
I,1.125,0.8625,0.3,12.51630425,4.97533725,2.56562975,3.40194,8
I,1.1875,0.8375,0.3125,12.48795475,5.2446575,2.62232875,4.195726,7
M,1.4375,1.1,0.4125,25.27357925,10.75863525,6.010094,8.0796075,10
I,0.9375,0.725,0.2125,7.6827145,3.2601925,1.7293195,2.08368825,7
F,1.575,1.25,0.45,35.42270025,14.628342,8.221355,10.0640725,12
I,1.3625,1.05,0.425,23.62930825,10.6877615,6.93145275,6.6621325,14
F,1.5,1.25,0.425,37.0527965,14.628342,7.824462,12.757275,13
I,1.3,0.9875,0.3125,18.71067,8.34892775,3.912231,5.8116475,12
F,1.1625,0.8875,0.3,13.90542975,5.329706,2.76407625,3.685435,9
I,1.3,0.9875,0.3125,18.71067,8.46232575,3.6003865,5.386405,7
M,1.675,1.35,0.45,43.33998475,19.6462035,9.7805775,11.90679,11
I,0.45,0.3625,0.125,0.77961125,0.35436875,0.226796,0.3118445,5
I,0.925,0.65,0.25,8.66077225,3.231843,1.70097,2.50893075,6
I,0.9,0.65,0.225,5.06038575,2.42388225,1.0489315,2.1262125,6
M,1.55,1.2375,0.4,37.137845,17.78931125,8.83086925,9.07184,9
I,1.2,0.875,0.325,14.69921575,6.2652395,3.27436725,3.8271825,7
M,1.375,1.075,0.375,23.57260925,9.86698625,4.89028875,6.6621325,18
M,1.6125,1.325,0.4375,32.50270175,13.50853675,8.50485,9.922325,12
I,1.4,0.95,0.325,22.1976585,8.15048125,5.20213325,4.195726,9
F,1.4625,1.125,0.3625,27.88173325,9.525432,6.860579,8.3631025,13
F,1.6375,1.3375,0.475,45.91201525,17.463292,10.36174225,13.4660125,18
I,0.9125,0.675,0.2125,6.44951125,2.211261,1.6159215,1.927766,7
I,0.85,0.6375,0.2375,5.0745605,2.53728025,1.48834875,1.5592225,6
F,1.5,1.2,0.425,31.808139,13.99047825,7.257472,9.525432,13
I,0.7875,0.625,0.175,4.03980375,1.99863975,0.94970825,1.2757275,6
F,1.425,1.125,0.4375,31.581343,9.39785925,5.5281525,11.056305,16
M,1.5,1.1875,0.4375,37.1094955,17.519991,9.1001895,10.77281,13
I,1.3125,1.025,0.4125,22.69377475,9.922325,5.62737575,7.087375,9
M,1.575,1.1875,0.4,31.1561005,15.592225,7.27164675,8.221355,9
F,1.5,1.1875,0.4375,42.48172575,18.597272,9.5537815,12.757275,11
M,1.6375,1.2875,0.4875,38.51279575,15.7339725,7.18659825,12.757275,13
I,0.525,0.375,0.1375,1.09145575,0.24097075,0.36271825,0.252425,3
I,1.0375,0.7875,0.2375,9.808927,5.96756975,1.77184375,2.96252275,6
F,1.55,1.25,0.4375,32.545226,13.93377925,6.8322295,10.489315,10
M,1.5625,1.225,0.4125,38.42774725,17.81766075,8.278054,8.6465975,9
M,1.5875,1.3125,0.4375,39.87357175,19.391058,8.50485,10.61688775,11
M,1.4375,1.125,0.3375,26.83280175,12.34620725,5.88252125,7.10154975,8
F,1.5,1.2,0.4125,32.034935,14.92601175,6.917278,8.6465975,10
M,1.725,1.3625,0.4625,44.55123925,18.83824275,10.87203325,12.77144975,13
F,1.075,0.8375,0.25,11.2547515,5.62737575,2.5231055,2.93417325,9
F,1.65,1.2875,0.4,37.71900975,15.26620575,9.9506745,9.7805775,9
F,1.425,1.1375,0.3625,25.47202575,12.190285,5.159609,7.8528115,9
I,1.3,1.0,0.35,19.97222275,8.0796075,4.37999775,5.0745605,9
F,1.4875,1.1625,0.3625,30.51823675,13.9196045,6.23689,8.1363065,9
F,1.25,1.025,0.3375,20.25571775,9.17106325,3.8838815,6.23689,12
F,1.5125,1.25,0.4375,37.18036925,13.73533275,7.2858215,11.623295,12
I,1.3,1.0125,0.375,20.0997955,9.05766525,3.742134,5.2446575,7
F,1.1,0.8625,0.3,11.963489,4.66349275,1.7860185,3.685435,12
